ticker,shares,price,notional,fee,date
OXY,981.4469116478722,91.19212860112218,89500.23298216696,89.50023298216696,2025-03-03
SPY,702.2959158450559,123.44697541247895,86696.306655609,86.696306655609,2025-03-03
META,748.4735267792935,96.12563577270767,71947.49362070032,71.94749362070031,2025-03-03
KHC,662.3884494571569,103.5898611352555,68616.72749686408,68.61672749686409,2025-03-03
GOOGL,712.7422763507968,91.30723316014429,65078.525209854204,65.0785252098542,2025-03-03
BN,813.3746962403105,77.77842162521318,63263.000063458574,63.26300006345858,2025-03-03
H1467J104,509.3296262646956,100.68506218859648,51281.885094955476,51.28188509495548,2025-03-03
CMG,539.3985433291241,88.84657230440308,47923.711680780725,47.92371168078073,2025-03-03
QSR,485.5814627106873,96.81382003125036,47010.99634138378,47.01099634138379,2025-03-03
NKE,486.5125892461047,93.74989241206275,45610.50289893639,45.610502898936396,2025-03-03
HHH,451.5854415123896,100.5410520513674,45402.87538073689,45.402875380736894,2025-03-03
GOOG,358.7306555461055,125.45347581634422,45004.00762013465,45.00400762013465,2025-03-03
HLT,439.3346489348151,96.42731247123778,42363.85947227897,42.363859472278975,2025-03-03
DUT,331.01242557609316,125.03988929929808,41389.75705072683,41.389757050726836,2025-03-03
MSFT,459.20666065487615,84.23564966053138,38681.57138870667,38.681571388706665,2025-03-03
CP,402.1333157861724,85.16239730370057,34246.637208036496,34.246637208036496,2025-03-03
NVDA,292.7476889663023,104.58753515762551,30617.75921207676,30.61775921207676,2025-03-03
APO,281.7981339168071,107.5008922990095,30293.550844252535,30.293550844252536,2025-03-03
AMZN,389.0167767947491,72.11980281088225,28055.813232562297,28.055813232562297,2025-03-03
SE,220.936218880936,122.274141752813,27014.786545778086,27.014786545778087,2025-03-03
OXY,-7.891170827566225,93.50451009475252,737.8600623055827,0.7378600623055827,2025-04-01
SPY,-55.10126918024572,136.2494932017141,7507.520000579709,7.507520000579709,2025-04-01
META,22.852229613021102,94.87396496452284,2168.0816316669952,2.168081631666995,2025-04-01
