date,value,cash,positions,return,cum_return
2025-01-02,1000000.0,1000000.0,0,0.0,0.0
2025-01-03,1000000.0,1000000.0,0,0.0,0.0
2025-01-06,1000000.0,1000000.0,0,0.0,0.0
2025-01-07,1000000.0,1000000.0,0,0.0,0.0
2025-01-08,1000000.0,1000000.0,0,0.0,0.0
2025-01-10,1000000.0,1000000.0,0,0.0,0.0
2025-01-13,1000000.0,1000000.0,0,0.0,0.0
2025-01-14,1000000.0,1000000.0,0,0.0,0.0
2025-01-15,1000000.0,1000000.0,0,0.0,0.0
2025-01-16,1000000.0,1000000.0,0,0.0,0.0
2025-01-17,1000000.0,1000000.0,0,0.0,0.0
2025-01-21,1000000.0,1000000.0,0,0.0,0.0
2025-01-22,1000000.0,1000000.0,0,0.0,0.0
2025-01-23,1000000.0,1000000.0,0,0.0,0.0
2025-01-24,1000000.0,1000000.0,0,0.0,0.0
2025-01-27,1000000.0,1000000.0,0,0.0,0.0
2025-01-28,1000000.0,1000000.0,0,0.0,0.0
2025-01-29,1000000.0,1000000.0,0,0.0,0.0
2025-01-30,1000000.0,1000000.0,0,0.0,0.0
2025-01-31,1000000.0,1000000.0,0,0.0,0.0
2025-02-03,1000000.0,1000000.0,0,0.0,0.0
2025-02-04,1000000.0,1000000.0,0,0.0,0.0
2025-02-05,1000000.0,1000000.0,0,0.0,0.0
2025-02-06,1000000.0,1000000.0,0,0.0,0.0
2025-02-07,1000000.0,1000000.0,0,0.0,0.0
2025-02-10,1000000.0,1000000.0,0,0.0,0.0
2025-02-11,1000000.0,1000000.0,0,0.0,0.0
2025-02-12,1000000.0,1000000.0,0,0.0,0.0
2025-02-13,1000000.0,1000000.0,0,0.0,0.0
2025-02-14,1000000.0,1000000.0,0,0.0,0.0
2025-02-18,1000000.0,1000000.0,0,0.0,0.0
2025-02-19,1000000.0,1000000.0,0,0.0,0.0
2025-02-20,1000000.0,1000000.0,0,0.0,0.0
2025-02-21,1000000.0,1000000.0,0,0.0,0.0
2025-02-24,1000000.0,1000000.0,0,0.0,0.0
2025-02-25,1000000.0,1000000.0,0,0.0,0.0
2025-02-26,1000000.0,1000000.0,0,0.0,0.0
2025-02-27,1000000.0,1000000.0,0,0.0,0.0
2025-02-28,1000000.0,1000000.0,0,0.0,0.0
2025-03-03,999182.1718751278,181354.04700297746,17,-0.0008178281248721886,-0.0008178281248721886
2025-03-04,992812.5443237098,181354.04700297746,17,-0.006374841075741378,-0.0071874556762902
2025-03-05,1007888.2181729805,181354.04700297746,17,0.015184814027042748,0.007888218172980466
2025-03-06,990853.1053734394,181354.04700297746,17,-0.01690178780978413,-0.009146894626560709
2025-03-07,992251.7618963736,181354.04700297746,17,0.0014115679865656094,-0.007748238103626459
2025-03-10,967276.2611690206,181354.04700297746,17,-0.025170527971268397,-0.032723738830979454
2025-03-11,961276.4433252306,181354.04700297746,17,-0.006202796537711719,-0.038723556674769344
2025-03-12,966550.4063817802,181354.04700297746,17,0.005486416621534929,-0.033449593618219864
2025-03-13,949428.000400225,181354.04700297746,17,-0.017714964339678674,-0.050571999599774986
2025-03-14,965568.8692180563,181354.04700297746,17,0.017000624387554675,-0.0344311307819436
2025-03-17,972252.1173910946,181354.04700297746,17,0.006921565499983906,-0.027747882608905372
2025-03-18,959011.355560362,181354.04700297746,17,-0.013618650547413957,-0.04098864443963801
2025-03-19,968217.2682488451,181354.04700297746,17,0.009599378187867158,-0.03178273175115498
2025-03-20,966713.9177161974,181354.04700297746,17,-0.0015526995664585375,-0.03328608228380259
2025-03-21,963079.3413445666,181354.04700297746,17,-0.003759722814602018,-0.03692065865543348
2025-03-24,976985.6736154656,181354.04700297746,17,0.014439446132739508,-0.023014326384534378
2025-03-25,978939.8857039454,181354.04700297746,17,0.002000246412261042,-0.02106011429605459
2025-03-26,970008.5396674459,181354.04700297746,17,-0.009123487730890667,-0.029991460332554065
2025-03-27,967698.3421249593,181354.04700297746,17,-0.002381625983703839,-0.03230165787504069
2025-03-28,943185.4587410461,181354.04700297746,17,-0.02533112057429554,-0.05681454125895391
2025-03-31,946231.566978876,181354.04700297746,17,0.003229596268262913,-0.053768433021123996
2025-04-01,955290.286733613,174004.52124724488,17,0.009573470248577243,-0.04470971326638706
2025-04-02,959609.4898099029,174004.52124724488,17,0.004521351401005402,-0.040390510190097206
2025-04-03,916597.7473399972,174004.52124724488,17,-0.0448221312175916,-0.08340225266000278
2025-04-04,880684.7580619513,174004.52124724488,17,-0.03918075227903062,-0.11931524193804866
2025-04-07,876527.58301458,174004.52124724488,17,-0.004720389457539387,-0.12347241698541989
2025-04-08,862157.0784758459,174004.52124724488,17,-0.016394811546387,-0.137842921524154
2025-04-09,933108.3740994347,174004.52124724488,17,0.08229509145713831,-0.06689162590056508
2025-04-10,902341.8685230715,174004.52124724488,17,-0.03297206029905875,-0.09765813147692837
2025-04-11,914680.4933513842,174004.52124724488,17,0.01367400234736782,-0.08531950664861565
2025-04-14,917296.8616608903,174004.52124724488,17,0.00286041773988166,-0.0827031383391097
2025-04-15,912630.9488311252,174004.52124724488,17,-0.005086589766934213,-0.08736905116887483
2025-04-16,897285.1721986898,174004.52124724488,17,-0.016814876431804016,-0.10271482780131025
2025-04-17,901237.9896007113,174004.52124724488,17,0.004405307838015071,-0.09876201039928867
2025-04-21,884840.5284470947,174004.52124724488,17,-0.018194374119627765,-0.11515947155290518
2025-04-22,901109.9878858832,174004.52124724488,17,0.01838688319051296,-0.09889001211411663
2025-04-23,914074.473355713,174004.52124724488,17,0.014387239786616934,-0.08592552664428699
2025-04-24,928988.6308662113,174004.52124724488,17,0.01631612953345707,-0.07101136913378858
2025-04-25,937298.8015347356,174004.52124724488,17,0.008945395446632975,-0.06270119846526412
2025-04-28,934927.3954054409,174004.52124724488,17,-0.00253004284803493,-0.06507260459455877
2025-04-29,938326.8543627713,174004.52124724488,17,0.003636067328903314,-0.061673145637228366
2025-04-30,935697.934750019,174004.52124724488,17,-0.002801709873834546,-0.06430206524998061
2025-05-01,947211.4768320671,87676.41782825474,18,0.012304763807268637,-0.05278852316793259
2025-05-02,963176.7356227987,87676.41782825474,18,0.01685500986973576,-0.03682326437720107
2025-05-05,959517.307381263,87676.41782825474,18,-0.0037993320500722128,-0.040482692618736715
