nameOfIssuer,titleOfClass,cusip,value,shares,putCall,investmentDiscretion,va_sole,va_shared,va_none
ALLY FINL INC,COM,02005N100,458035497000,12719675,,DFND,12719675,0,0
ALLY FINL INC,COM,02005N100,100967539000,2803875,,DFND,2803875,0,0
ALLY FINL INC,COM,02005N100,152257482000,4228200,,DFND,4228200,0,0
ALLY FINL INC,COM,02005N100,112963370000,3137000,,DFND,3137000,0,0
ALLY FINL INC,COM,02005N100,174153363000,4836250,,DFND,4836250,0,0
ALLY FINL INC,COM,02005N100,45912750000,1275000,,DFND,1275000,0,0
AMAZON COM INC,COM,023135106,1694568360000,7724000,,DFND,7724000,0,0
AMAZON COM INC,COM,023135106,499331640000,2276000,,DFND,2276000,0,0
AMERICAN EXPRESS CO,COM,025816109,341291286000,1149942,,DFND,1149942,0,0
AMERICAN EXPRESS CO,COM,025816109,44239827546000,149061045,,DFND,149061045,0,0
AMERICAN EXPRESS CO,COM,025816109,415420821000,1399713,,DFND,1399713,0,0
APPLE INC,COM,037833100,173290640000,692000,,DFND,692000,0,0
APPLE INC,COM,037833100,961612800000,3840000,,DFND,3840000,0,0
APPLE INC,COM,037833100,8514280000,34000,,DFND,34000,0,0
APPLE INC,COM,037833100,8695584080000,34724000,,DFND,34724000,0,0
APPLE INC,COM,037833100,682144080000,2724000,,DFND,2724000,0,0
APPLE INC,COM,037833100,3889523440000,15532000,,DFND,15532000,0,0
APPLE INC,COM,037833100,15411595055000,61542988,,DFND,61542988,0,0
APPLE INC,COM,037833100,1804025680000,7204000,,DFND,7204000,0,0
APPLE INC,COM,037833100,3624078240000,14472000,,DFND,14472000,0,0
APPLE INC,COM,037833100,38250906745000,152747012,,DFND,152747012,0,0
APPLE INC,COM,037833100,679139040000,2712000,,DFND,2712000,0,0
APPLE INC,COM,037833100,945585920000,3776000,,DFND,3776000,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,4140382000,108217,,DFND,108217,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,3706131000,96867,,DFND,96867,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,571184000,14929,,DFND,14929,0,0
