nameOfIssuer,titleOfClass,cusip,value,shares,putCall,investmentDiscretion,va_sole,va_shared,va_none
ABBOTT LABS,COM,002824100,9660900000,72830,,SOLE,72830,0,0
ABBVIE INC,COM,00287Y109,21989543000,104952,,SOLE,104952,0,0
ABERCROMBIE & FITCH CO,CL A,002896207,4103360000,53730,,SOLE,53730,0,0
ACADEMY SPORTS & OUTDOORS IN,COM,00402L107,1667365000,36557,,SOLE,36557,0,0
ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,1067177000,3420,,SOLE,3420,0,0
ACUITY INC,COM,00508Y102,12229974000,46440,,SOLE,46440,0,0
ADOBE INC,COM,00724F101,223717268000,583311,,SOLE,583311,0,0
ADT INC DEL,COM,00090Q103,5021045000,616836,,SOLE,616836,0,0
ADTALEM GLOBAL ED INC,COM,00737L103,16989441000,168814,,SOLE,168814,0,0
ADVANCED MICRO DEVICES INC,COM,007903107,222338401000,2164088,,SOLE,2164088,0,0
AECOM,COM,00766T100,376762000,4063,,SOLE,4063,0,0
AFFILIATED MANAGERS GROUP IN,COM,008252108,13629585000,81114,,SOLE,81114,0,0
AGNICO EAGLE MINES LTD,COM,008474108,53120683000,489998,,SOLE,489998,0,0
AIRBNB INC,COM CL A,009066101,1848644000,15475,,SOLE,15475,0,0
ALAMOS GOLD INC NEW,COM CL A,011532108,12474424000,466508,,SOLE,466508,0,0
ALASKA AIR GROUP INC,COM,011659109,33836240000,687449,,SOLE,687449,0,0
ALBERTSONS COS INC,COMMON STOCK,013091103,1196784000,54424,,SOLE,54424,0,0
ALCOA CORP,COM,013872106,15951531000,523001,,SOLE,523001,0,0
ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,748455915000,5660258,,SOLE,5660258,0,0
ALIGN TECHNOLOGY INC,COM,016255101,471655000,2969,,SOLE,2969,0,0
ALLEGION PLC,ORD SHS,G0176J109,14319290000,109760,,SOLE,109760,0,0
ALLISON TRANSMISSION HLDGS I,COM,01973R101,14145288000,147855,,SOLE,147855,0,0
ALLSTATE CORP,COM,020002101,92552214000,446961,,SOLE,446961,0,0
ALLY FINL INC,COM,02005N100,3101591000,85045,,SOLE,85045,0,0
ALPHABET INC,CAP STK CL A,02079K305,470465447000,3042327,,SOLE,3042327,0,0
ALTRIA GROUP INC,COM,02209S103,198903939000,3313961,,SOLE,3313961,0,0
AMAZON COM INC,COM,023135106,251803973000,1323473,,SOLE,1323473,0,0
AMCOR PLC,ORD,G0250X107,111773000,11523,,SOLE,11523,0,0
AMDOCS LTD,SHS,G02602103,22977297000,251118,,SOLE,251118,0,0
AMERICAN EXPRESS CO,COM,025816109,7476630000,27789,,SOLE,27789,0,0
AMERICAN FINL GROUP INC OHIO,COM,025932104,3106322000,23651,,SOLE,23651,0,0
AMERICAN INTL GROUP INC,COM NEW,026874784,8512730000,97915,,SOLE,97915,0,0
AMERICAN TOWER CORP NEW,COM,03027X100,692403000,3182,,SOLE,3182,0,0
AMERIPRISE FINL INC,COM,03076C106,48986123000,101188,,SOLE,101188,0,0
AMETEK INC,COM,031100100,217929000,1266,,SOLE,1266,0,0
ANGLOGOLD ASHANTI PLC,COM SHS,G0378L100,22980212000,619079,,SOLE,619079,0,0
AON PLC,SHS CL A,G0403H108,1187692000,2976,,SOLE,2976,0,0
APA CORPORATION,COM,03743Q108,10878964000,517553,,SOLE,517553,0,0
APPFOLIO INC,COM CL A,03783C100,10196323000,46368,,SOLE,46368,0,0
APPLE INC,COM,037833100,208895272000,940419,,SOLE,940419,0,0
APPLIED MATLS INC,COM,038222105,917158000,6320,,SOLE,6320,0,0
APPLOVIN CORP,COM CL A,03831W108,1700312000,6417,,SOLE,6417,0,0
ARCBEST CORP,COM,03937C105,298553000,4230,,SOLE,4230,0,0
ARCH CAP GROUP LTD,ORD,G0450A105,23966325000,249182,,SOLE,249182,0,0
ARISTA NETWORKS INC,COM SHS,040413205,65354535000,843502,,SOLE,843502,0,0
ARMSTRONG WORLD INDS INC NEW,COM,04247X102,5112535000,36290,,SOLE,36290,0,0
ARROW ELECTRS INC,COM,042735100,14712296000,141696,,SOLE,141696,0,0
ASBURY AUTOMOTIVE GROUP INC,COM,043436104,624756000,2829,,SOLE,2829,0,0
ASGN INC,COM,00191U102,2573107000,40830,,SOLE,40830,0,0
ASML HOLDING N V,N Y REGISTRY SHS,N07059210,24532550000,37023,,SOLE,37023,0,0
ASSURANT INC,COM,04621X108,5232214000,24945,,SOLE,24945,0,0
ASSURED GUARANTY LTD,COM,G0585R106,7036106000,79865,,SOLE,79865,0,0
ASTRAZENECA PLC,SPONSORED ADR,046353108,50795850000,691100,,SOLE,691100,0,0
AT&T INC,COM,00206R102,78635764000,2780614,,SOLE,2780614,0,0
ATI INC,COM,01741R102,16547829000,318044,,SOLE,318044,0,0
ATLASSIAN CORPORATION,CL A,049468101,4385320000,20665,,SOLE,20665,0,0
AUTOHOME INC,SP ADS RP CL A,05278C107,2452943000,88490,,SOLE,88490,0,0
AUTOLIV INC,COM,052800109,3362692000,38018,,SOLE,38018,0,0
AUTONATION INC,COM,05329W102,15153283000,93585,,SOLE,93585,0,0
AUTOZONE INC,COM,053332102,6249146000,1639,,SOLE,1639,0,0
AVIDXCHANGE HOLDINGS INC,COM,05368X102,152911000,18032,,SOLE,18032,0,0
AXIS CAP HLDGS LTD,SHS,G0692U109,21279549000,212286,,SOLE,212286,0,0
AXSOME THERAPEUTICS INC,COM,05464T104,4994680000,42825,,SOLE,42825,0,0
B2GOLD CORP,COM,11777Q209,194061000,68289,,SOLE,68289,0,0
BAIDU INC,SPON ADR REP A,056752108,191082349000,2076305,,SOLE,2076305,0,0
BAKER HUGHES COMPANY,CL A,05722G100,14947878000,340111,,SOLE,340111,0,0
BANK MONTREAL QUE,COM,063671101,4481940000,46941,,SOLE,46941,0,0
BANK NEW YORK MELLON CORP,COM,064058100,87829083000,1047205,,SOLE,1047205,0,0
BANK NOVA SCOTIA HALIFAX,COM,064149107,7208463000,152056,,SOLE,152056,0,0
BARRICK GOLD CORP,COM,067901108,25943244000,1334529,,SOLE,1334529,0,0
BATH & BODY WORKS INC,COM,070830104,959780000,31655,,SOLE,31655,0,0
