nameOfIssuer,titleOfClass,cusip,value,shares,putCall,investmentDiscretion,va_sole,va_shared,va_none
ABBOTT LABS,COM,002824100,7737609000,56890,,SOLE,56890,0,0
ALAMOS GOLD INC NEW,COM CL A,011532108,4944967000,186181,,SOLE,186181,0,0
BLOCK H & R INC,COM,093671105,34735380000,632818,,SOLE,632818,0,0
BRADY CORP,CL A,104674106,516368000,7597,,SOLE,7597,0,0
BANK MONTREAL QUE,COM,063671101,259682000,2348,,SOLE,2348,0,0
ALLISON TRANSMISSION HLDGS I,COM,01973R101,18199229000,191591,,SOLE,191591,0,0
BHP GROUP LTD,SPONSORED ADS,088606108,12635503000,262747,,SOLE,262747,0,0
ARCH CAP GROUP LTD,ORD,G0450A105,17693291000,194325,,SOLE,194325,0,0
APPLOVIN CORP,COM CL A,03831W108,2595843000,7415,,SOLE,7415,0,0
ASTERA LABS INC,COM,04626A103,7255030000,80237,,SOLE,80237,0,0
BLUE OWL CAPITAL CORPORATION,COM,69121K104,176454000,12305,,SOLE,12305,0,0
ADVANCED MICRO DEVICES INC,COM,007903107,249066995000,1755229,,SOLE,1755229,0,0
AXSOME THERAPEUTICS INC,COM,05464T104,11200212000,107292,,SOLE,107292,0,0
ABERCROMBIE & FITCH CO,CL A,002896207,8576549000,103519,,SOLE,103519,0,0
BAUSCH HEALTH COS INC,COM,071734107,4958790000,744563,,SOLE,744563,0,0
BP PLC,SPONSORED ADR,055622104,15674910000,523719,,SOLE,523719,0,0
BELLRING BRANDS INC,COMMON STOCK,07831C103,423237000,7306,,SOLE,7306,0,0
AMERICAN INTL GROUP INC,COM NEW,026874784,34629372000,404596,,SOLE,404596,0,0
ASTRAZENECA PLC,SPONSORED ADR,046353108,43388772000,620904,,SOLE,620904,0,0
ACADEMY SPORTS & OUTDOORS IN,COM,00402L107,4441791000,99125,,SOLE,99125,0,0
ABBVIE INC,COM,00287Y109,111054961000,598292,,SOLE,598292,0,0
AFFILIATED MANAGERS GROUP IN,COM,008252108,21693499000,110248,,SOLE,110248,0,0
AMDOCS LTD,SHS,G02602103,29075268000,318668,,SOLE,318668,0,0
ASSOCIATED BANC CORP,COM,045487105,10088289000,413624,,SOLE,413624,0,0
ALCOA CORP,COM,013872106,7731207000,261986,,SOLE,261986,0,0
AXIS CAP HLDGS LTD,SHS,G0692U109,27381175000,263737,,SOLE,263737,0,0
AUTOLIV INC,COM,052800109,5864791000,52411,,SOLE,52411,0,0
BOSTON SCIENTIFIC CORP,COM,101137107,5186184000,48284,,SOLE,48284,0,0
ADOBE INC,COM,00724F101,282228186000,729498,,SOLE,729498,0,0
AMAZON COM INC,COM,023135106,272904706000,1243925,,SOLE,1243925,0,0
BILL HOLDINGS INC,COM,090043100,454227000,9819,,SOLE,9819,0,0
