nameOfIssuer,titleOfClass,cusip,value,shares,putCall,investmentDiscretion,va_sole,va_shared,va_none
ABBOTT LABS,COM,002824100,15970336000,119235,,SOLE,119235,0,0
ABBVIE INC,COM,00287Y109,60359931000,260689,,SOLE,260689,0,0
ABERCROMBIE & FITCH CO,CL A,002896207,13889641000,162357,,SOLE,162357,0,0
ABM INDS INC,COM,000957100,1461035000,31679,,SOLE,31679,0,0
ACADEMY SPORTS & OUTDOORS IN,COM,00402L107,13311422000,266122,,SOLE,266122,0,0
ACADIA HEALTHCARE COMPANY IN,COM,00404A109,2252615000,90978,,SOLE,90978,0,0
ACADIA PHARMACEUTICALS INC,COM,004225108,3483648000,163245,,SOLE,163245,0,0
ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,8917796000,36163,,SOLE,36163,0,0
ACI WORLDWIDE INC,COM,004498101,1747742000,33120,,SOLE,33120,0,0
ACUITY INC,COM,00508Y102,6467989000,18781,,SOLE,18781,0,0
ADAPTIVE BIOTECHNOLOGIES COR,COM,00650F109,2262760000,151254,,SOLE,151254,0,0
ADIENT PLC,ORD SHS,G0084W101,10413227000,432443,,SOLE,432443,0,0
ADMA BIOLOGICS INC,COM,000899104,883734000,60282,,SOLE,60282,0,0
ADOBE INC,COM,00724F101,445416014000,1262696,,SOLE,1262696,0,0
ADT INC DEL,COM,00090Q103,12025671000,1380674,,SOLE,1380674,0,0
ADTALEM GLOBAL ED INC,COM,00737L103,12348432000,79951,,SOLE,79951,0,0
ADVANCED ENERGY INDS,COM,007973100,1611736000,9473,,SOLE,9473,0,0
ADVANCED MICRO DEVICES INC,COM,007903107,290380854000,1794801,,SOLE,1794801,0,0
AECOM,COM,00766T100,7577045000,58075,,SOLE,58075,0,0
AEHR TEST SYS,COM,00760J108,252743000,8394,,SOLE,8394,0,0
AEROVIRONMENT INC,COM,008073108,3573687000,11349,,SOLE,11349,0,0
AFFILIATED MANAGERS GROUP IN,COM,008252108,3417656000,14334,,SOLE,14334,0,0
AFFIRM HLDGS INC,COM CL A,00827B106,647489000,8860,,SOLE,8860,0,0
AGILENT TECHNOLOGIES INC,COM,00846U101,6121910000,47697,,SOLE,47697,0,0
AGNC INVT CORP,COM,00123Q104,658475000,67260,,SOLE,67260,0,0
AGNICO EAGLE MINES LTD,COM,008474108,16067476000,95322,,SOLE,95322,0,0
AIR LEASE CORP,CL A,00912X302,213355000,3352,,SOLE,3352,0,0
AIRBNB INC,COM CL A,009066101,22314932000,183783,,SOLE,183783,0,0
AKAMAI TECHNOLOGIES INC,COM,00971T101,2324999000,30689,,SOLE,30689,0,0
AKERO THERAPEUTICS INC,COM,00973Y108,202075000,4256,,SOLE,4256,0,0
ALAMOS GOLD INC NEW,COM CL A,011532108,1494971000,42885,,SOLE,42885,0,0
ALARM COM HLDGS INC,COM,011642105,2780490000,52383,,SOLE,52383,0,0
ALASKA AIR GROUP INC,COM,011659109,9419621000,189225,,SOLE,189225,0,0
ALBERTSONS COS INC,COMMON STOCK,013091103,4320820000,246763,,SOLE,246763,0,0
ALIGHT INC,COM CL A,01626W101,641845000,196885,,SOLE,196885,0,0
ALIGN TECHNOLOGY INC,COM,016255101,2280006000,18208,,SOLE,18208,0,0
ALLEGION PLC,ORD SHS,G0176J109,13280500000,74883,,SOLE,74883,0,0
ALLIENT INC,COM,019330109,1591221000,35558,,SOLE,35558,0,0
ALLISON TRANSMISSION HLDGS I,COM,01973R101,23228770000,273666,,SOLE,273666,0,0
ALLSTATE CORP,COM,020002101,50929362000,237267,,SOLE,237267,0,0
ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,15463416000,33911,,SOLE,33911,0,0
ALPHA METALLURGICAL RESOUR I,COM,020764106,1363752000,8311,,SOLE,8311,0,0
ALPHABET INC,CAP STK CL A,02079K305,645162118000,2653896,,SOLE,2653896,0,0
ALTRIA GROUP INC,COM,02209S103,244131732000,3695606,,SOLE,3695606,0,0
AMAZON COM INC,COM,023135106,247011200000,1124977,,SOLE,1124977,0,0
AMCOR PLC,ORD,G0250X107,2702549000,330385,,SOLE,330385,0,0
AMDOCS LTD,SHS,G02602103,25794633000,314377,,SOLE,314377,0,0
AMER SPORTS INC,COM SHS,G0260P102,2897455000,83380,,SOLE,83380,0,0
AMER STATES WTR CO,COM,029899101,705778000,9626,,SOLE,9626,0,0
AMERANT BANCORP INC,CL A,023576101,2063682000,107093,,SOLE,107093,0,0
AMEREN CORP,COM,023608102,3935022000,37699,,SOLE,37699,0,0
AMERICAN EAGLE OUTFITTERS IN,COM,02553E106,5623390000,328661,,SOLE,328661,0,0
AMERICAN EXPRESS CO,COM,025816109,12314168000,37073,,SOLE,37073,0,0
AMERICAN FINL GROUP INC OHIO,COM,025932104,10609436000,72807,,SOLE,72807,0,0
AMERICAN INTL GROUP INC,COM NEW,026874784,39069330000,497445,,SOLE,497445,0,0
AMERICAN TOWER CORP NEW,COM,03027X100,5706134000,29670,,SOLE,29670,0,0
AMERICAN WOODMARK CORPORATIO,COM,030506109,1304090000,19534,,SOLE,19534,0,0
AMERIPRISE FINL INC,COM,03076C106,30786146000,62669,,SOLE,62669,0,0
AMETEK INC,COM,031100100,6805036000,36197,,SOLE,36197,0,0
AMGEN INC,COM,031162100,3187449000,11295,,SOLE,11295,0,0
AMPHENOL CORP NEW,CL A,032095101,90988796000,735263,,SOLE,735263,0,0
ANALOG DEVICES INC,COM,032654105,8909819000,36263,,SOLE,36263,0,0
ANGLOGOLD ASHANTI PLC,COM SHS,G0378L100,16369589000,232754,,SOLE,232754,0,0
ANNALY CAPITAL MANAGEMENT IN,COM NEW,035710839,1392024000,68878,,SOLE,68878,0,0
ANTERO MIDSTREAM CORP,COM,03676B102,2081149000,107055,,SOLE,107055,0,0
ANTERO RESOURCES CORP,COM,03674X106,29098869000,867070,,SOLE,867070,0,0
ANYWHERE REAL ESTATE INC,COM,75605Y106,781997000,73843,,SOLE,73843,0,0
AON PLC,SHS CL A,G0403H108,2034289000,5705,,SOLE,5705,0,0
API GROUP CORP,COM STK,00187Y100,4073292000,118513,,SOLE,118513,0,0
APPFOLIO INC,COM CL A,03783C100,11190142000,40594,,SOLE,40594,0,0
APPLE INC,COM,037833100,87785220000,344756,,SOLE,344756,0,0
APPLIED INDL TECHNOLOGIES IN,COM,03820C105,4127723000,15812,,SOLE,15812,0,0
APPLIED MATLS INC,COM,038222105,94897604000,463503,,SOLE,463503,0,0
APPLOVIN CORP,COM CL A,03831W108,17571177000,24454,,SOLE,24454,0,0
APTARGROUP INC,COM,038336103,2481799000,18568,,SOLE,18568,0,0
APTIV PLC,COM SHS,G3265R107,19446145000,225541,,SOLE,225541,0,0
ARCH CAP GROUP LTD,ORD,G0450A105,28824377000,317694,,SOLE,317694,0,0
ARCHROCK INC,COM,03957W106,1111071000,42230,,SOLE,42230,0,0
ARISTA NETWORKS INC,COM SHS,040413205,99136130000,680366,,SOLE,680366,0,0
ARMOUR RESIDENTIAL REIT INC,COM SHS,042315705,485251000,32480,,SOLE,32480,0,0
ARMSTRONG WORLD INDS INC NEW,COM,04247X102,6012411000,30674,,SOLE,30674,0,0
ARROW ELECTRS INC,COM,042735100,20684829000,170949,,SOLE,170949,0,0
ARTERIS INC,COM,04302A104,436007000,43169,,SOLE,43169,0,0
ARTISAN PARTNERS ASSET MGMT,CL A,04316A108,287265000,6619,,SOLE,6619,0,0
ASBURY AUTOMOTIVE GROUP INC,COM,043436104,4819332000,19715,,SOLE,19715,0,0
ASGN INC,COM,00191U102,5208642000,110003,,SOLE,110003,0,0
ASHLAND INC,COM,044186104,842641000,17588,,SOLE,17588,0,0
ASML HOLDING N V,N Y REGISTRY SHS,N07059210,87321718000,90200,,SOLE,90200,0,0
ASSOCIATED BANC CORP,COM,045487105,19615702000,762960,,SOLE,762960,0,0
ASSURANT INC,COM,04621X108,12255661000,56582,,SOLE,56582,0,0
ASSURED GUARANTY LTD,COM,G0585R106,12191547000,144023,,SOLE,144023,0,0
AST SPACEMOBILE INC,COM CL A,00217D100,674408000,13741,,SOLE,13741,0,0
ASTERA LABS INC,COM,04626A103,3422192000,17478,,SOLE,17478,0,0
ASTRAZENECA PLC,SPONSORED ADR,046353108,35510542000,462859,,SOLE,462859,0,0
AT&T INC,COM,00206R102,1066822000,37777,,SOLE,37777,0,0
ATI INC,COM,01741R102,11099494000,136458,,SOLE,136458,0,0
ATLASSIAN CORPORATION,CL A,049468101,39677305000,248449,,SOLE,248449,0,0
AUTODESK INC,COM,052769106,48458335000,152543,,SOLE,152543,0,0
AUTOLIV INC,COM,052800109,20376141000,164989,,SOLE,164989,0,0
AUTOMATIC DATA PROCESSING IN,COM,053015103,12123898000,41308,,SOLE,41308,0,0
AUTONATION INC,COM,05329W102,4635955000,21191,,SOLE,21191,0,0
AVERY DENNISON CORP,COM,053611109,2863436000,17657,,SOLE,17657,0,0
AVIS BUDGET GROUP,COM,053774105,1747538000,10883,,SOLE,10883,0,0
AVISTA CORP,COM,05379B107,206783000,5469,,SOLE,5469,0,0
AXALTA COATING SYS LTD,COM,G0750C108,3940659000,137689,,SOLE,137689,0,0
AXCELIS TECHNOLOGIES INC,COM NEW,054540208,217151000,2224,,SOLE,2224,0,0
AXIS CAP HLDGS LTD,SHS,G0692U109,8736002000,91190,,SOLE,91190,0,0
B2GOLD CORP,COM,11777Q209,228760000,46264,,SOLE,46264,0,0
BAKER HUGHES COMPANY,CL A,05722G100,3604598000,73986,,SOLE,73986,0,0
BANK AMERICA CORP,COM,060505104,29462224000,571084,,SOLE,571084,0,0
BANK MONTREAL QUE,COM,063671101,673709000,5169,,SOLE,5169,0,0
BANK NEW YORK MELLON CORP,COM,064058100,43665393000,400747,,SOLE,400747,0,0
BANK NOVA SCOTIA HALIFAX,COM,064149107,1925012000,29764,,SOLE,29764,0,0
BANK OZK LITTLE ROCK ARK,COM,06417N103,5380123000,105534,,SOLE,105534,0,0
BANKUNITED INC,COM,06652K103,6371117000,166958,,SOLE,166958,0,0
BARRICK MNG CORP,COM SHS,06849F108,20059702000,611999,,SOLE,611999,0,0
BATH & BODY WORKS INC,COM,070830104,8019423000,311313,,SOLE,311313,0,0
BAUSCH HEALTH COS INC,COM,071734107,2815767000,436553,,SOLE,436553,0,0
BAXTER INTL INC,COM,071813109,4110213000,180510,,SOLE,180510,0,0
BCE INC,COM NEW,05534B760,435283000,18624,,SOLE,18624,0,0
BECTON DICKINSON & CO,COM,075887109,1778302000,9501,,SOLE,9501,0,0
BELLRING BRANDS INC,COMMON STOCK,07831C103,435618000,11984,,SOLE,11984,0,0
BENTLEY SYS INC,COM CL B,08265T208,4809468000,93424,,SOLE,93424,0,0
BEST BUY INC,COM,086516101,1091877000,14439,,SOLE,14439,0,0
BILL HOLDINGS INC,COM,090043100,293348000,5538,,SOLE,5538,0,0
BIO RAD LABS INC,CL A,090572207,2981106000,10632,,SOLE,10632,0,0
BIOCRYST PHARMACEUTICALS INC,COM,09058V103,3123308000,411503,,SOLE,411503,0,0
BIOGEN INC,COM,09062X103,5600819000,39983,,SOLE,39983,0,0
BIOHAVEN LTD,COM,G1110E107,301101000,20060,,SOLE,20060,0,0
BIOMARIN PHARMACEUTICAL INC,COM,09061G101,20346991000,375683,,SOLE,375683,0,0
BIO-TECHNE CORP,COM,09073M104,2288952000,41146,,SOLE,41146,0,0
BJS WHSL CLUB HLDGS INC,COM,05550J101,6006605000,64414,,SOLE,64414,0,0
BLACKBAUD INC,COM,09227Q100,518724000,8066,,SOLE,8066,0,0
BLACKLINE INC,COM,09239B109,3526955000,66421,,SOLE,66421,0,0
BLACKROCK INC,COM,09290D101,3819390000,3276,,SOLE,3276,0,0
BLACKSKY TECHNOLOGY INC,CL A NEW,09263B207,299812000,14879,,SOLE,14879,0,0
BLACKSTONE INC,COM,09260D107,6239100000,36518,,SOLE,36518,0,0
BLOCK H & R INC,COM,093671105,30658669000,606262,,SOLE,606262,0,0
BLOCK INC,CL A,852234103,9061285000,125381,,SOLE,125381,0,0
